# wavelength flux variance
3473.826481644317 -51838518.23651301 333333333333.3333
3473.8636933246403 -115997820.96325183 333333333333.3333
3473.900905403569 -58407165.78968295 12119567313.006044
3473.938117881121 -106616.81278717623 1242075188.91343
3473.975330757287 8177.182879294591 575255174.1615533
3474.0125440320844 59814.50650690214 1314557373.8372262
3474.0497577055107 34699.70128549239 1821641267.1803493
3474.086971777564 31152.355676850166 3023805330.273725
3474.1241862482616 12434.372520643183 5446373444.756394
3474.1614011176007 47619.15487512616 2673521923.2495728
3474.1986163855804 80403.20388108313 3817742906.655466
3474.235832052216 24735.48689053937 7194699862.553796
3474.2730481175013 -13985.649510786783 17852254537.70783
3474.310264581451 -64272.951356882855 88983278891.75117
3474.347481444064 -359423.3883484976 156837004763.59796
3474.384698705339 -902674.7199788551 258592685374.3473
3474.4219163652915 -375919.70798239345 161471372543.24658
3474.4591344239143 169254.24399621403 118500924365.77501
3474.496352881223 98018.55276040165 20403672559.037243
3474.5335717372172 -48288.269517389286 2881315637.7838287
3474.570790991894 -20853.26816409913 1327259641.1891725
3474.6080106452696 20632.632940389405 1551932556.3171275
3474.645230697343 -65478.15651275154 2002264166.813221
3474.6824511481122 -64674.69728998802 1030523789.956447
3474.719671997593 -55269.25866813874 965960078.6148806
3474.7568932457784 -473923.29688205896 2463650100.2743917
3474.7941148926843 -1148664.7970525264 2568937126821.501
3474.8313369383095 -1458136.9223018645 12458661711.982088
3474.8685593826513 -146594.06325827236 2404940858.836758
3474.9057822257264 -13776.692513112976 2680757702.777288
3474.943005467527 43077.02969488554 1367091645.9450288
3474.98022910807 77764.83719973428 1444176256.2326546
3475.017453147353 92939.72640356465 3741780940.5633073
3475.0546775853745 33293.23358642432 3144533693.106825
3475.0919024221507 -8080.371563143469 2435848525.6348157
3475.1291276576803 349196.0746100691 3915187282.936767
3475.1663532919606 534872.8423848597 25629870021.36314
3475.2035793250084 63741.04817464378 8925754133.103104
3475.2408057568164 -10975.020426531177 10486879385.049944
3475.2780325874 68944.47133796777 3329677582.77731
3475.3152598167585 43025.04188954644 4062014862.700952
3475.3524874448894 -269244.9372467974 36151893737.477264
3475.3897154718093 -874332.1034878099 313458169613.59503
3475.42694389751 -186578.29081675678 164341017437.89676
3475.4641727220082 27360.15618642054 3253464979.196909
3475.5014019453024 272.1784586408239 3156212847.219586
3475.5386315673904 -8206.407719906085 53613821256.18945
3475.575861588289 36.381522977733766 201740196953.44144
3475.613092007996 -41729.79299242507 1988654584.1685278
3475.6503228265096 120870.03355029644 3373578137.5700135
3475.6875540438464 388351.2956123984 101367173481.09612
3475.7247856599984 437311.62929602386 6651955856.439999
3475.762017674982 -28802.519827074197 1056099447.5719018
3475.799250088796 -50368.64295103771 923124822.9328841
3475.8364829014376 66629.30280059416 1302916556.2352102
3475.873716112924 107315.95295573995 1977911640.1264594
3475.9109497232466 7575.20964068879 1750349830.7475786
3475.9481837324224 -39052.523505645935 8047094993.110259
3475.98541814045 -44638.38042840277 2293151312.1846776
3476.0226529473266 -20664.47785209469 1461319199.2861881
3476.059888153069 48801.94872343247 1731123533.1396987
3476.0971237576755 157138.4963641332 4038718843.8646374
3476.1343597611444 81381.5819703956 2539640069.9977555
3476.171596163492 33147.470330692784 3493730555.682116
3476.2088329647104 132845.66334181646 5446392643.798825
3476.246070164816 135732.43809600643 4251204641.7991977
3476.283307763807 -74397.76931052166 1504084006.6838567
3476.3205457616814 -11480.996974643822 2366645834.3236184
3476.3577841584565 8232.47245538357 1463643309.0501292
3476.395022954129 3865.0646397743003 884037450.4556594
3476.4322621486986 -30710.895760808024 790676355.92242
3476.469501742181 -108106.10102610463 5311404977.525355
3476.506741734568 -235637.68713982299 12154081013.779541
3476.543982125877 -83146.19354007754 1229609643.7479117
3476.5812229161056 -17031.676795257994 988987848.6306943
3476.6184641052514 -54375.04197503191 1736742077.7540238
3476.655705693332 -112392.52776742421 9431143989.122122
3476.692947680339 75573.10119691418 8795825829.865166
3476.7301900662883 -123609.6465310107 18298127392.056324
3476.767432851179 -402731.93720763456 107265411289.24298
3476.8046760350085 -353653.35201734083 40485540189.06226
3476.841919617794 280862.2842149215 9519361160.412283
3476.879163599533 85625.21982633817 4405777146.844383
3476.916407980224 -2287.618924404538 5356783062.654643
3476.953652759884 42559.42836429164 12305846130.199387
3476.9908979385036 513247.6048564002 89491370888.55795
3477.028143516101 2202237.0856505875 1111123233315.7168
3477.065389492673 547641.4035341078 2700977919.161441
3477.102635868219 121509.39861795343 4173208151.3600698
3477.1398826427544 29288.64910777501 9697336611.323412
3477.1771298162716 40922.40219229512 4255631210.5755124
3477.2143773887874 -43621.94192270569 1869196010.529069
3477.2516253602994 64712.9088821378 2662924762.183334
3477.2888737308067 -37956.00377664852 6058723054.429313
3477.326122500325 -77054.271491107 7884275782.214646
3477.3633716688523 -188872.99134355015 4363501428.35723
3477.4006212363875 -959402.0846020301 54944300615.28968
3477.4378712029466 1127322.7041597601 217972487932.64914
3477.4751215685214 314520.9135664846 216346950562.9657
3477.5123723331294 104473.2116596759 4096306455.088226
3477.5496234967677 4454.259812279166 1112372141.113598
3477.586875059435 43463.69993038806 474684923.1400974
3477.624127021148 31316.356546452193 693385875.9979874
3477.6613793818983 -1125.0041631896966 618746146.7744496
3477.6986321417025 -49869.9842946906 790939585.5038328
3477.7358853005585 -9546.970565427386 4357296703.357104
3477.7731388584652 15132.615931622862 15738637285.748495
3477.8103928154387 -32521.30700332996 4139218282.750563
3477.8476471714766 -59895.94146152258 1015599179.4301848
3477.884901926578 -183832.22964738318 1160377549.4283264
3477.922157080759 -477541.43818260217 58480920933.86248
3477.9594126340116 -785602.9791732102 100578252797.02013
3477.9966685863524 -105085.47890563437 7784223951.674834
3478.0339249377794 50036.760002104624 3094814671.061362
3478.0711816882913 56389.49560187716 3881036386.6934547
3478.1084388379036 48371.35225306387 39056262350.42564
3478.145696386609 67638.25027012879 29246097586.973774
3478.1829543344243 108384.01675804757 1646947007.3364
3478.2202126813468 52525.59825109303 2674455862.034957
3478.2574714273755 72716.33288521634 8860614131.391329
3478.2947305725265 -35116.11050095283 45439862517.522804
3478.331990116798 -270045.6309960622 1149170770836.8445
3478.369250060188 -2130803.996121607 6260027452013.375
3478.406510402713 -784340.1083385153 1100257691.6117475
3478.4437711443657 -48136.234689605684 1354359006.5363019
3478.481032285162 -64098.52583208035 16072627985.272436
3478.5182938251 -46016.35258089926 3681213193.6766973
3478.5555557641783 -22484.136013467658 442441325.7307666
3478.5928181024133 8938.715782304522 733861456.0875462
3478.6300808397964 150.52396455700364 1183892707.6358964
3478.667343976345 -21834.043859566245 1700366638.380687
3478.7046075120566 -16154.275520308038 2375080306.0339017
