# wavelength flux variance
5208.744778257826 1242.0667169075252 333333333333.3333
5208.799829698159 3649.647628651377 333333333333.3333
5208.854881720323 5741.625846656042 52563404.06456641
5208.909934324342 3235.9486977289384 23309695.260605797
5208.964987510207 -1094.6331005404463 27955609.459278554
5209.02004127794 -3829.916203035187 31655252.797374208
5209.07509562753 -3002.046462093216 29813924.40266037
5209.130150559 2308.925503210584 24100516.577585038
5209.185206072348 878.0409662711947 25764976.6212776
5209.240262167571 2142.9834115625376 27334296.434882015
5209.295318844693 6210.949213841992 26980774.34234287
5209.350376103703 2275.243807766624 28495749.235478237
5209.405433944624 4149.327661768017 27405166.25622112
5209.460492367444 7544.576032570931 28059344.965388507
5209.515551372188 2525.9456984625444 28303733.031080008
5209.570610958854 -3047.8961194259737 31251331.622113902
5209.625671127437 -5720.558307103012 32687478.74161524
5209.680731877963 -6822.6277702691805 29688095.95644198
5209.735793210419 1927.6885745390066 27673414.29729113
5209.790855124829 351.3463864698406 34009801.88555484
5209.845917621182 -5845.754485961708 37625029.8549349
5209.900980699502 -9487.546897967695 32961593.77542467
5209.956044359786 -5365.605157375625 30826414.306466084
5210.011108602031 -3309.9777705991 30714692.358984467
5210.066173426261 -8182.982824001949 34109130.27034394
5210.121238832465 -8565.008931498865 41467762.35195359
5210.176304820667 761.2139375268363 36779632.78670431
5210.231371390853 3081.891520831899 32333326.492978115
5210.28643854305 1954.850534462222 31548790.554334924
5210.341506277254 -6008.236830344318 36767504.79000767
5210.396574593462 -1266.1930976322928 35867752.93237324
5210.451643491699 2869.5399508270384 33113214.104962382
5210.506712971951 7291.712560767853 27054699.420890003
5210.561783034244 2505.3799476982476 29408636.27109514
5210.616853678567 -1503.9201169260948 30258653.539402023
5210.671924904942 2888.1103921156773 32843341.347441945
5210.726996713358 -4413.320562738676 34282357.84425307
5210.78206910384 -1035.6883874529585 33395293.602204364
5210.837142076384 158.89860712498148 33116121.61353731
5210.892215630987 6283.367451425374 30965557.495738063
5210.947289767674 -3865.7938670553067 32825053.9190225
5211.002364486433 -6033.101026712701 33625183.877981514
5211.057439787289 -4117.18007130502 32813737.4062973
5211.112515670227 3106.184635460897 32613654.859686464
5211.167592135274 9583.155144424029 31326190.75227205
5211.222669182428 6771.50147401311 31693678.376159012
5211.277746811683 3443.779334536944 32251058.255226675
5211.332825023065 9336.171311085789 29509298.535197716
5211.387903816562 4396.7623366117505 32071870.25592662
5211.442983192199 2006.8978383894548 33582690.18950356
5211.498063149962 10168.118021631231 28656922.162474852
5211.553143689877 6098.556501967629 27417103.48648494
5211.60822481194 85.94474042738989 28671221.369879212
5211.6633065161495 -7113.332801409507 32202092.154825952
5211.718388802528 -5096.160391762939 32914960.08456162
5211.773471671065 -9467.71032669218 32656368.902994886
5211.828555121783 -1592.2231643499408 33239366.905394364
5211.883639154673 9131.622215002528 32770413.78978933
5211.9387237697565 6705.596343059416 35534517.18000511
5211.993808967031 3516.718372572204 33303232.05458578
5212.0488947464955 261.4560886797972 33119578.15449834
5212.103981108173 3668.331412000763 36429898.42948016
5212.15906805205 1426.266686925443 34264505.98488605
5212.214155578154 -560.5410055246666 32866353.382647667
5212.26924368647 3425.0373984606904 30058025.766728427
5212.324332377024 -4491.585314011591 32430642.599131405
5212.379421649813 -2454.617315871844 29780481.63027801
5212.434511504833 -4526.740474102836 29383047.198378127
5212.489601942109 -9309.678104361054 32676697.223995958
5212.544692961629 -2137.4878089160775 31377786.124366064
5212.599784563418 -777.9530919786666 33823750.27267069
5212.654876747463 -2524.384328845304 36681006.65371834
5212.7099695137895 -3174.1740562872 32373500.945245456
5212.765062862393 -850.8377715808892 30072908.03105176
5212.820156793272 -1678.0855298648555 32625212.643274397
5212.875251306449 -4153.543633728505 41081213.048561536
